business_name,city,state,stars,total_checkins,total_reviews,conversion_rate
Benjamin Franklin Bridge,Philadelphia,PA,4.5,4968,103,48.233
Lakeside Shopping Center,Metairie,LA,3.5,4302,100,43.02
The University of Arizona,Tucson,AZ,4.0,4167,98,42.52
St. Louis Lambert Interna,Saint Louis,MO,3.0,29606,896,33.042
City of New Orleans,New Orleans,LA,4.0,4859,152,31.967
Nashville International A,Nashville,TN,3.5,31168,990,31.483
30th Street Station,Philadelphia,PA,4.0,10063,390,25.803
Tucson International Airp,Tucson,AZ,4.0,10089,425,23.739
Philadelphia Internationa,Philadelphia,PA,2.5,52144,2235,23.331
Indianapolis City Market,Indianapolis,IN,4.0,5280,230,22.957
Reno-Tahoe International ,Reno,NV,4.0,13420,599,22.404
Indianapolis Internationa,Indianapolis,IN,4.0,21487,978,21.97
Rittenhouse Square Park,Philadelphia,PA,4.5,5498,251,21.904
Café Du Monde,New Orleans,LA,4.0,40109,1894,21.177
The Jug Handle Inn,Cinnaminson,NJ,4.0,13244,638,20.759
Louis Armstrong New Orlea,Kenner,LA,3.0,37562,1850,20.304
Boise Airport,Boise,"ID",4.0,7639,382,19.997
Tampa International Airpo,Tampa,FL,4.0,37518,1896,19.788
International Plaza and B,Tampa,FL,4.5,4955,263,18.84
New Orleans City Park,New Orleans,LA,4.5,4682,299,15.659
Zodo's Bowlero Bowling & ,Goleta,CA,3.5,4478,293,15.283
Busch Stadium,Saint Louis,MO,4.5,7038,525,13.406
Citizens Bank Park,Philadelphia,PA,4.5,5905,529,11.163
King of Prussia,King Of Prussia,PA,4.0,4930,481,10.249
Harrah's New Orleans,New Orleans,LA,3.5,5796,714,8.118
Sushi Rose,Reno,NV,3.5,4930,682,7.229
Seminole Hard Rock Hotel ,Tampa,FL,2.5,5394,821,6.57
101 Taiwanese Cuisine,Reno,NV,4.0,7739,1188,6.514
French Market,New Orleans,LA,3.5,4117,701,5.873
Royal House,New Orleans,LA,4.0,28927,5146,5.621
Eldorado Resort Casino,Reno,NV,3.0,5437,998,5.448
Tea Do,Philadelphia,PA,4.0,4461,863,5.169
Lafitte's Blacksmith Shop,New Orleans,LA,4.0,8092,1621,4.992
The Original Pierre Maspe,New Orleans,LA,4.0,9464,1915,4.942
The Spotted Cat Music Clu,New Orleans,LA,4.5,4324,895,4.831
The Row,Nashville,TN,4.0,7118,1485,4.793
Olde Nola Cookery,New Orleans,LA,4.0,6279,1329,4.725
Silver Legacy Resort Casi,Reno,NV,3.0,7515,1620,4.639
The Carousel Bar & Lounge,New Orleans,LA,4.0,6365,1411,4.511
Pat O'Brien’s,New Orleans,LA,4.0,10135,2396,4.23
Circus Circus Reno,Reno,NV,2.5,5158,1292,3.992
Atlantis Casino Resort Sp,Reno,NV,3.5,4849,1295,3.744
HUB Restaurant & Ice Crea,Tucson,AZ,4.0,4487,1329,3.376
Nine Ting,Philadelphia,PA,4.0,4182,1274,3.283
Reading Terminal Market,Philadelphia,PA,4.5,18615,5778,3.222
Busch Gardens Tampa Bay,Tampa,FL,3.5,4279,1359,3.149
McConnell's Fine Ice Crea,Santa Barbara,CA,4.5,4696,1553,3.024
Jack's Bar-B-Que,Nashville,TN,4.0,4765,1584,3.008
Ted Drewes,Saint Louis,MO,4.5,4248,1424,2.983
Peppermill Reno,Reno,NV,4.0,7887,2715,2.905
The Rum House,New Orleans,LA,4.0,4731,1631,2.901
Grand Sierra Resort and C,Reno,NV,3.0,10478,3634,2.883
Oceana Grill,New Orleans,LA,4.0,21542,7516,2.866
The National WWII Museum,New Orleans,LA,4.5,4594,1650,2.784
Gaylord Opryland Resort &,Nashville,TN,3.0,4582,1670,2.744
Santa Barbara Shellfish C,Santa Barbara,CA,4.0,6148,2444,2.516
Parkway Bakery & Tavern,New Orleans,LA,4.5,5407,2223,2.432
District Donuts Sliders B,New Orleans,LA,4.5,5090,2110,2.412
Gumbo Shop,New Orleans,LA,4.0,9574,3971,2.411
Cafe Beignet on Royal Str,New Orleans,LA,4.0,6459,2722,2.373
The Franklin Fountain,Philadelphia,PA,4.0,4894,2100,2.33
Stanley,New Orleans,LA,4.0,5678,2440,2.327
Bodega,Saint Petersburg,FL,4.5,4202,1812,2.319
Dim Sum Garden,Philadelphia,PA,4.0,6377,2778,2.296
Nan Zhou Hand Drawn Noodl,Philadelphia,PA,4.0,5113,2255,2.267
Cochon Butcher,New Orleans,LA,4.5,8855,3917,2.261
Tommy DiNic's,Philadelphia,PA,4.0,4951,2245,2.205
Jimmy J's Cafe,New Orleans,LA,4.0,4768,2178,2.189
Brophy Bros - Santa Barba,Santa Barbara,CA,4.0,6528,3003,2.174
The Original Tony Lukes,Philadelphia,PA,4.0,4198,1952,2.151
Luke,New Orleans,LA,4.0,9390,4661,2.015
Datz,Tampa,FL,4.0,6820,3388,2.013
Jim's South St,Philadelphia,PA,3.5,5492,2769,1.983
Acme Oyster House,New Orleans,LA,4.0,15205,7673,1.982
Surrey's Café & Juice Bar,New Orleans,LA,4.5,4185,2120,1.974
Ruby Slipper - New Orlean,New Orleans,LA,4.5,10209,5264,1.939
Parc,Philadelphia,PA,4.0,5569,2884,1.931
Monk's Cafe,Philadelphia,PA,4.0,4306,2241,1.921
Cochon,New Orleans,LA,4.0,8503,4480,1.898
The Dandelion,Philadelphia,PA,4.0,4656,2577,1.807
Felix's Restaurant & Oyst,New Orleans,LA,4.0,7146,4034,1.771
Drago's Seafood Restauran,New Orleans,LA,3.5,5672,3217,1.763
Willie Mae's Scotch House,New Orleans,LA,4.5,6326,3633,1.741
Mother's Restaurant,New Orleans,LA,3.5,9034,5254,1.719
Pat's King of Steaks,Philadelphia,PA,3.0,7264,4293,1.692
Puckett's Grocery & Resta,Nashville,TN,4.0,4691,2794,1.679
Deanie's Seafood,New Orleans,LA,3.5,4192,2514,1.667
El Vez,Philadelphia,PA,4.0,5354,3264,1.64
Los Agaves,Santa Barbara,CA,4.5,6356,3889,1.634
Café Amelie,New Orleans,LA,4.5,4444,2790,1.593
Boathouse at Hendry's Bea,Santa Barbara,CA,4.0,4121,2588,1.592
Columbia Restaurant,Tampa,FL,4.0,4476,2916,1.535
Pappy's Smokehouse,Saint Louis,MO,4.5,6178,4093,1.509
The Pharmacy,Nashville,TN,4.0,4655,3105,1.499
Coop's Place,New Orleans,LA,3.5,4752,3210,1.48
Commander's Palace,New Orleans,LA,4.5,7261,4969,1.461
Geno's Steaks,Philadelphia,PA,2.5,4959,3428,1.447
Barbuzzo,Philadelphia,PA,4.5,4210,2974,1.416
Hattie B’s Hot Chicken - ,Nashville,TN,4.5,7848,6160,1.274
Biscuit Love: Gulch,Nashville,TN,4.0,4467,4247,1.052
