year,total_users,elite_users,regular_users,elite_ratio
2004,90,27,63,30.0
2005,937,401,536,42.8
2006,5423,1743,3680,32.14
2007,15340,3788,11552,24.69
2008,31097,5679,25418,18.26
2009,64911,7691,57220,11.85
2010,109054,9928,99126,9.1
2011,176435,11504,164931,6.52
2012,195955,10168,185787,5.19
2013,209762,9588,200174,4.57
2014,233465,9202,224263,3.94
2015,247850,8036,239814,3.24
2016,217620,5708,211912,2.62
2017,151024,3622,147402,2.4
2018,133568,2251,131317,1.69
2019,104655,1341,103314,1.28
2020,47444,339,47105,0.71
2021,40485,182,40303,0.45
2022,2782,0,2782,0.0
