rank,business_name,checkin_count
1,Philadelphia Interna,52144
2,Café Du Monde,40109
3,Louis Armstrong New ,37562
4,Tampa International ,37518
5,Nashville Internatio,31168
6,St. Louis Lambert In,29606
7,Royal House,28927
8,Oceana Grill,21542
9,Indianapolis Interna,21487
10,Reading Terminal Mar,18615
11,Acme Oyster House,15205
12,Reno-Tahoe Internati,13420
13,The Jug Handle Inn,13244
14,Grand Sierra Resort ,10478
15,Ruby Slipper - New O,10209
16,Pat O'Brien’s,10135
17,Tucson International,10089
18,30th Street Station,10063
19,Gumbo Shop,9574
20,The Original Pierre ,9464
21,Luke,9390
22,Mother's Restaurant,9034
23,Cochon Butcher,8855
24,Cochon,8503
25,Lafitte's Blacksmith,8092
26,Peppermill Reno,7887
27,Hattie B’s Hot Chick,7848
28,101 Taiwanese Cuisin,7739
29,Boise Airport,7639
30,Silver Legacy Resort,7515
