Word1,Word2,Association Strength
fresh,salad,2058
fresh,shrimp,1146
chicken,salad,1009
chicken,sandwich,977
salad,shrimp,923
pizza,salad,848
fresh,pizza,842
flavorful,fresh,833
chicken,fresh,829
fresh,sushi,786
seafood,shrimp,765
beef,fresh,743
fresh,seafood,725
pasta,salad,707
authentic,mexican,690
authentic,fresh,658
cold,warm,644
coffee,fresh,618
pork,sandwich,602
fresh,warm,590
crispy,fresh,587
salad,salmon,577
pizza,wings,561
fresh,homemade,554
cold,fresh,551
chicken,wings,550
chicken,pizza,523
beef,salad,505
fresh,salmon,505
dessert,shrimp,496
